passage_id,condition,original_word_count,rewritten_word_count,length_ratio,rewritten_sentence_count,rewritten_text_sha256,qc_status,qc_flags
AUSTEN_EMMA_020,paraphrase,552,520,0.942029,35,f6f12f3d31088830e306e86e91738d5b1f557b9a86018bd15378e3ba9c3e2aaa,pass,
AUSTEN_EMMA_020,modernize,552,548,0.992754,37,328a227aa15c9f39897a71de6b662b19f6106a4e470bfe8bf390be5215ced930,pass,
AUSTEN_EMMA_020,simplify,552,534,0.967391,38,4615289f5424adcab41dd4a71f8a434b5e820838e7b2b44cc64bf258eda086f4,pass,
AUSTEN_EMMA_021,paraphrase,582,534,0.917526,24,d6e40fdc9b5f13a9e7bc2dd4e4f6f0d2e52418a30511cf20b3889bbae7c30443,pass,
AUSTEN_EMMA_021,modernize,582,565,0.97079,25,58f4d217d180ed84a5eda3df04e1a21af1676e8ff39b010672912b8167a7dbbf,pass,
AUSTEN_EMMA_021,simplify,582,562,0.965636,32,cfd5d095f5bf620941f243ab6e3675f6fdb79ab158a38e870a8ff9af25aa5793,pass,
AUSTEN_EMMA_022,paraphrase,580,543,0.936207,42,476e043fbba33f0c302257adbf375bd41b8d1fa38225f67b7ea52150460877bf,pass,
AUSTEN_EMMA_022,modernize,580,585,1.008621,42,f3353a64be8bd4526dc2bbd778eec2b75592e4954e58edb719cb607572a4c07d,pass,
AUSTEN_EMMA_022,simplify,580,583,1.005172,42,c07619b1d21e10ddb1506d2b78d548a65607b662ee2d8d1451a0036e202b6335,pass,
AUSTEN_EMMA_023,paraphrase,556,484,0.870504,37,bb2964f61cea5e7f2304548dc57d777dc05ee1e490e6e1743b9bbbf9b892b67a,pass,
AUSTEN_EMMA_023,modernize,556,508,0.913669,33,06ec9c2421e28b569d089415ee3e534097927f582bb38fd5f3364ef7c76295f0,pass,
AUSTEN_EMMA_023,simplify,556,538,0.967626,36,dfdb47d0e2253f6bca678c55328925faab2a53bca379f35ebe0921da6e45bfea,pass,
AUSTEN_EMMA_024,paraphrase,561,557,0.99287,41,74ee5064c7736639281fab38df1f3180fa4f3a06acf51fd26cc8e9c227ba3d47,pass,
AUSTEN_EMMA_024,modernize,561,545,0.97148,41,1bdfad518e33d21783ab05aadfc55ec961d9bc21a08c95eb9e00c68694033ad0,pass,
AUSTEN_EMMA_024,simplify,561,532,0.948307,43,683658c6dd7819861e61b0de946457fc0b9096d270da7bcf2349c631064fc800,pass,
AUSTEN_EMMA_025,paraphrase,621,549,0.884058,33,3b709341b5a50b646c458bcd7eab034986a13310210fa1961fa52ac0f9623151,pass,
AUSTEN_EMMA_025,modernize,621,547,0.880837,33,a77a71232140107ef95d8b6ed8a8c2942b5e1b0c63d554b0cb9ea646e9480adc,pass,
AUSTEN_EMMA_025,simplify,621,529,0.851852,30,5c0bc841399e1f12f0fe1100b28a4dacbecce55d21ffe7c712c5ba631d2c65c1,pass,
AUSTEN_EMMA_026,paraphrase,564,529,0.937943,55,0f5999058bd7c8890a585aaf93bc4060eb154027919049a1255a293b0927d3de,pass,
AUSTEN_EMMA_026,modernize,564,527,0.934397,56,5a2b57ba53555a626814b9ba042bb54343b9920af1bd6debd2a7a14d6a5b779b,pass,
AUSTEN_EMMA_026,simplify,564,521,0.923759,56,af71b929a25a82645801c2666c7e75eb492e0a53556f011fc5d946687f7ec42b,pass,
AUSTEN_EMMA_027,paraphrase,574,550,0.958188,30,90fb94625d10fb73b8caca02612733671e1c7363609beea341269a783aee2505,pass,
AUSTEN_EMMA_027,modernize,574,562,0.979094,30,e69065a3e486a83236a3b75935b2fdceddfb0a2e0c78f0972bf638b53e68fbfe,pass,
AUSTEN_EMMA_027,simplify,574,489,0.851916,33,1c6197b2591315d7f94a4e2b014e16305e3a4b2d8d15dce050ced14694e84c7b,pass,
AUSTEN_EMMA_028,paraphrase,552,517,0.936594,23,b1a4e01e65baefbc65048c53978579e98130cf6c1035d908cdde0755cd910f55,pass,
AUSTEN_EMMA_028,modernize,552,553,1.001812,24,bbe581cb9a1c2aae92afad55d2ea32b03f063fc965ed55f501e4214d2f4c31fc,pass,
AUSTEN_EMMA_028,simplify,552,546,0.98913,23,affc715718e3fe7d2162009c9ef7f210b4fa9a991cfa39011db2da2d897786d8,pass,
AUSTEN_EMMA_029,paraphrase,556,541,0.973022,53,9bfca1211f01a73d4a570a72c59afeaa7f6d0842560209d9934c146a90561d95,pass,
AUSTEN_EMMA_029,modernize,556,538,0.967626,51,6215be70dd140a20a79ec47ab7061737845b02b1ee5fec3b7bc0eea32b9d03a6,pass,
AUSTEN_EMMA_029,simplify,556,538,0.967626,56,fe93db29b9ce9fe963190a6b0ab16d471cf8b0e1cebb2b3508d0e73ce1a17927,pass,
AUSTEN_EMMA_030,paraphrase,559,523,0.935599,48,127b10185d4f342a1cd6f22ea57f189d59a3d133a0ab4ffc923691bba7328895,pass,
AUSTEN_EMMA_030,modernize,559,537,0.960644,49,7e1db5a6d208e56d7ef91d9ddec31b27399642480fb1848bd7c043138fee4529,pass,
AUSTEN_EMMA_030,simplify,559,536,0.958855,52,f3c5661a1c1a333550f5f02e57de0e976967f3ad0215aedc7ce45562ae5377c0,pass,
AUSTEN_PRIDE_AND_PREJUDICE_001,paraphrase,560,513,0.916071,24,7018423daf962c3709c105a41c93649777503f0b06adbd43154bf50b80828a99,pass,
AUSTEN_PRIDE_AND_PREJUDICE_001,modernize,560,506,0.903571,27,d4fb9d4d49367c4dcc75e8ea3204d9aa8ba73a356221ff50a585def1b0c51f8d,pass,
AUSTEN_PRIDE_AND_PREJUDICE_001,simplify,560,551,0.983929,32,9c49de6f58bfbbe50e6f6b4617d9624f2fc779ec24130174bae4119d550facd2,pass,
AUSTEN_PRIDE_AND_PREJUDICE_002,paraphrase,560,525,0.9375,33,e9002607ef88bc3738da396af9e581fe598136447b56d4e3ad253f8110043b78,pass,
AUSTEN_PRIDE_AND_PREJUDICE_002,modernize,560,522,0.932143,38,17ad3b2e3a2ac81ae0c325686b6a6aacbd18727c3919e8964b3ef38814477a39,pass,
