model,split,condition,author_id,precision,recall,f1,support
nearest_centroid,test,simplify,poe,0.5,0.555556,0.526316,9
nearest_centroid,test,simplify,shelley,0.7,0.777778,0.736842,9
nearest_centroid,test,simplify,twain,0.857143,0.666667,0.75,9
nearest_centroid,test,simplify,wilde,0.714286,0.555556,0.625,9
diagonal_gaussian_nb,validation,simplify,austen,0.666667,0.888889,0.761905,9
diagonal_gaussian_nb,validation,simplify,dickens,0.5,0.777778,0.608696,9
diagonal_gaussian_nb,validation,simplify,poe,0.416667,0.555556,0.47619,9
diagonal_gaussian_nb,validation,simplify,shelley,0.666667,0.888889,0.761905,9
diagonal_gaussian_nb,validation,simplify,twain,1.0,0.333333,0.5,9
diagonal_gaussian_nb,validation,simplify,wilde,1.0,0.111111,0.2,9
diagonal_gaussian_nb,test,simplify,austen,0.692308,1.0,0.818182,9
diagonal_gaussian_nb,test,simplify,dickens,0.5,0.666667,0.571429,9
diagonal_gaussian_nb,test,simplify,poe,0.5,0.555556,0.526316,9
diagonal_gaussian_nb,test,simplify,shelley,0.666667,0.666667,0.666667,9
diagonal_gaussian_nb,test,simplify,twain,0.571429,0.444444,0.5,9
diagonal_gaussian_nb,test,simplify,wilde,0.666667,0.222222,0.333333,9
linear_discriminant_shrinkage,validation,simplify,austen,0.692308,1.0,0.818182,9
linear_discriminant_shrinkage,validation,simplify,dickens,0.555556,0.555556,0.555556,9
linear_discriminant_shrinkage,validation,simplify,poe,0.636364,0.777778,0.7,9
linear_discriminant_shrinkage,validation,simplify,shelley,0.777778,0.777778,0.777778,9
linear_discriminant_shrinkage,validation,simplify,twain,1.0,0.333333,0.5,9
linear_discriminant_shrinkage,validation,simplify,wilde,0.333333,0.333333,0.333333,9
linear_discriminant_shrinkage,test,simplify,austen,0.818182,1.0,0.9,9
linear_discriminant_shrinkage,test,simplify,dickens,0.555556,0.555556,0.555556,9
linear_discriminant_shrinkage,test,simplify,poe,0.454545,0.555556,0.5,9
linear_discriminant_shrinkage,test,simplify,shelley,0.625,0.555556,0.588235,9
linear_discriminant_shrinkage,test,simplify,twain,0.857143,0.666667,0.75,9
linear_discriminant_shrinkage,test,simplify,wilde,0.625,0.555556,0.588235,9
