feature_set,condition,author_a,author_b,burrows_delta,mean_absolute_z_distance,euclidean_z_distance,feature_count
all_features,simplify,austen,poe,0.512865612,0.512865612,9.44171861,205
all_features,simplify,austen,shelley,0.480895212,0.480895212,8.397372154,205
all_features,simplify,austen,twain,0.473410863,0.473410863,8.612353064,205
all_features,simplify,austen,wilde,0.368258434,0.368258434,6.847541256,205
all_features,simplify,dickens,poe,0.45245167,0.45245167,8.358554815,205
all_features,simplify,dickens,shelley,0.400395524,0.400395524,7.681743699,205
all_features,simplify,dickens,twain,0.315047232,0.315047232,5.774279496,205
all_features,simplify,dickens,wilde,0.255582447,0.255582447,4.698777328,205
all_features,simplify,poe,shelley,0.343678833,0.343678833,6.246116147,205
all_features,simplify,poe,twain,0.513741193,0.513741193,9.510836387,205
all_features,simplify,poe,wilde,0.366551916,0.366551916,6.81870221,205
all_features,simplify,shelley,twain,0.488176436,0.488176436,9.074206918,205
all_features,simplify,shelley,wilde,0.375394815,0.375394815,7.040014959,205
all_features,simplify,twain,wilde,0.347575604,0.347575604,6.352726143,205
